source,target,edge_source,year_source,period
10.1063/1.5139865,10.4324/9781315398945,openalex,2019,p2_2013_2019
10.1063/1.5139865,10.1016/j.compedu.2013.10.020,openalex,2019,p2_2013_2019
10.3389/fpsyg.2019.02713,10.1016/j.compedu.2017.03.001,openalex,2019,p2_2013_2019
10.3389/fpsyg.2019.02713,10.3102/0034654317710096,openalex,2019,p2_2013_2019
10.3389/fpsyg.2019.02713,10.1016/j.compedu.2014.11.022,openalex,2019,p2_2013_2019
10.3389/fpsyg.2019.02713,10.1016/j.chb.2015.05.047,openalex,2019,p2_2013_2019
10.3389/fpsyg.2019.02713,10.1016/j.chb.2014.09.012,openalex,2019,p2_2013_2019
10.3389/fpsyg.2019.02713,10.1016/j.chb.2016.08.047,openalex,2019,p2_2013_2019
10.3389/fpsyg.2019.02713,10.1016/j.compedu.2016.03.003,openalex,2019,p2_2013_2019
10.3389/fpsyg.2019.02713,10.1016/j.edurev.2017.09.003,openalex,2019,p2_2013_2019
10.3389/fpsyg.2019.02713,10.1007/s10639-017-9611-4,openalex,2019,p2_2013_2019
10.1108/ils-05-2019-0042,10.1109/siie.2016.7751839,openalex,2019,p2_2013_2019
10.1108/ils-05-2019-0042,10.1145/3137065.3137069,openalex,2019,p2_2013_2019
10.1108/ils-05-2019-0042,10.1007/s11528-016-0098-4,openalex,2019,p2_2013_2019
10.1108/ils-05-2019-0042,10.3102/0013189x12463051,openalex,2019,p2_2013_2019
10.1108/ils-05-2019-0042,10.1016/j.edurev.2017.09.003,openalex,2019,p2_2013_2019
10.1108/ils-05-2019-0042,10.1007/978-3-319-25396-1_13,openalex,2019,p2_2013_2019
10.1108/ils-05-2019-0042,10.1007/s10639-015-9412-6,openalex,2019,p2_2013_2019
10.3390/fi11120263,10.3102/0013189x12463051,openalex,2019,p2_2013_2019
10.3390/fi11120263,10.1016/j.edurev.2017.09.003,openalex,2019,p2_2013_2019
10.3390/fi11120263,10.1007/s11528-016-0098-4,openalex,2019,p2_2013_2019
10.3390/fi11120263,10.1007/s11528-016-0087-7,openalex,2019,p2_2013_2019
10.3390/fi11120263,10.1016/j.chb.2014.09.012,openalex,2019,p2_2013_2019
10.3390/fi11120263,10.1007/s10639-015-9412-6,openalex,2019,p2_2013_2019
10.3390/fi11120263,10.5220/0006367001660170,openalex,2019,p2_2013_2019
10.3390/fi11120263,10.1109/educon.2016.7474667,openalex,2019,p2_2013_2019
10.3390/fi11120263,10.1007/978-3-319-52691-1_13,openalex,2019,p2_2013_2019
10.15294/jpii.v8i4.19259,10.1145/3137065.3137069,openalex,2019,p2_2013_2019
10.15294/jpii.v8i4.19259,10.1145/2968120.2987750,openalex,2019,p2_2013_2019
10.15294/jpii.v8i4.19259,10.1016/j.chb.2014.09.012,openalex,2019,p2_2013_2019
10.15294/jpii.v8i4.19259,10.1186/s41239-017-0080-z,openalex,2019,p2_2013_2019
10.15294/jpii.v8i4.19259,10.1007/s10639-015-9412-6,openalex,2019,p2_2013_2019
10.1186/s40594-019-0194-z,10.1007/s10956-017-9725-x,openalex,2019,p2_2013_2019
10.1186/s40594-019-0194-z,10.1109/educon.2017.7943078,openalex,2019,p2_2013_2019
10.1186/s40594-019-0194-z,10.1007/s10956-015-9581-5,openalex,2019,p2_2013_2019
10.1007/s10956-019-09799-3,10.1016/j.robot.2015.10.008,openalex,2019,p2_2013_2019
10.1007/s10956-019-09799-3,10.1007/s10639-017-9658-2,openalex,2019,p2_2013_2019
10.1007/s10956-019-09799-3,10.1007/s11257-017-9187-0,openalex,2019,p2_2013_2019
10.1007/s10956-019-09799-3,10.1080/2331186x.2018.1507306,openalex,2019,p2_2013_2019
10.1007/s10956-019-09799-3,10.1016/j.compedu.2013.10.020,openalex,2019,p2_2013_2019
10.1007/s10956-019-09799-3,10.1016/j.compedu.2017.03.001,openalex,2019,p2_2013_2019
10.1007/s10956-019-09799-3,10.1016/j.ijcci.2017.11.003,openalex,2019,p2_2013_2019
10.1007/s10956-019-09799-3,10.1016/j.compedu.2017.09.004,openalex,2019,p2_2013_2019
10.1007/s10956-019-09799-3,10.1080/10494820.2017.1337036,openalex,2019,p2_2013_2019
10.1007/s10956-019-09799-3,10.3102/0013189x12463051,openalex,2019,p2_2013_2019
10.1007/s10956-019-09799-3,10.1080/08993408.2015.1033142,openalex,2019,p2_2013_2019
10.1007/s10956-019-09799-3,10.1016/j.chb.2017.01.005,openalex,2019,p2_2013_2019
10.1007/s10956-019-09799-3,10.1007/s10956-016-9628-2,openalex,2019,p2_2013_2019
