source,target,edge_source,year_source,period
10.3102/00346543241241327,10.1016/j.compedu.2021.104173,openalex,2025,p3_2020_2026
10.3102/00346543241241327,10.1177/21582440211016418,openalex,2025,p3_2020_2026
10.3102/00346543241241327,10.1080/18117295.2022.2133739,openalex,2025,p3_2020_2026
10.3102/00346543241241327,10.1016/j.compedu.2021.104196,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.21061/jte.v34i2.a.3,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1177/07356331211004048,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1007/s10639-021-10700-2,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.3389/fcomp.2022.997222,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1016/j.tsc.2023.101285,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1080/15391523.2021.1983894,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1145/3545945.3569823,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1007/s10639-022-11385-x,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1016/j.compedu.2022.104657,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1007/s11191-022-00392-6,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1007/s10758-021-09585-4,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1007/s10956-019-09803-w,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1109/tlt.2024.3392896,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1016/j.ijcci.2021.100415,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1177/10567879221076077,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1016/j.compedu.2019.103798,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1007/s10639-022-11465-y,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1007/s10639-023-12022-x,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1080/10494820.2018.1534245,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1007/s10639-022-11445-2,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1007/s11528-022-00695-z,openalex,2025,p3_2020_2026
10.1007/s11528-025-01052-6,10.1016/j.caeai.2023.100147,openalex,2025,p3_2020_2026
10.1016/j.compedu.2024.105230,10.1016/j.chb.2019.03.018,openalex,2025,p3_2020_2026
10.1016/j.compedu.2024.105230,10.19173/irrodl.v22i4.5474,openalex,2025,p3_2020_2026
10.1016/j.compedu.2024.105230,10.1016/j.tsc.2023.101369,openalex,2025,p3_2020_2026
10.1016/j.compedu.2024.105230,10.1016/j.chb.2019.03.003,openalex,2025,p3_2020_2026
10.1016/j.compedu.2024.105230,10.1016/j.ijcci.2021.100281,openalex,2025,p3_2020_2026
10.1016/j.compedu.2024.105230,10.1007/s11191-022-00392-6,openalex,2025,p3_2020_2026
10.1016/j.compedu.2024.105230,10.1016/j.compedu.2020.103832,openalex,2025,p3_2020_2026
10.1007/s40692-023-00304-9,10.1186/s40594-023-00400-3,openalex,2025,p3_2020_2026
10.1007/s40692-023-00304-9,10.15388/infedu.2020.14,openalex,2025,p3_2020_2026
10.1007/s40692-023-00304-9,10.1016/j.ijcci.2021.100415,openalex,2025,p3_2020_2026
10.1007/s40692-023-00304-9,10.1145/3459990.3465176,openalex,2025,p3_2020_2026
10.1007/s10639-024-13104-0,10.1016/j.chb.2019.03.018,openalex,2025,p3_2020_2026
10.1007/s10639-024-13104-0,10.1007/s10639-022-10921-z,openalex,2025,p3_2020_2026
10.1007/s10639-024-13104-0,10.1080/15391523.2021.1983894,openalex,2025,p3_2020_2026
10.1007/s10639-024-13104-0,10.1016/j.compedu.2022.104431,openalex,2025,p3_2020_2026
10.1007/s10639-024-13104-0,10.1177/07356331221133560,openalex,2025,p3_2020_2026
10.1007/s10639-024-13104-0,10.1002/cae.22374,openalex,2025,p3_2020_2026
